"","home_team","yardline_100","game_seconds_remaining","goal_to_go","yards_gained","shotgun","no_huddle","qb_dropback","qb_scramble","score_differential","first_down_rush","down_2","down_3","down_4","run_location_middle","run_location_right","run_gap_end","run_gap_guard","run_gap_tackle","td_team_1","td_team_2"
"130",1,0.704081632653061,0.330254687937308,0,0.136842105263158,0,0,0,0,0.711538461538462,0,1,0,0,0,0,0,1,0,0,0
"131",1,0.704081632653061,0.210187517492303,0,0.126315789473684,0,0,0,0,0.557692307692308,0,1,0,0,1,0,0,0,0,0,0
"132",1,0.23469387755102,0.047579065211307,0,0.126315789473684,0,0,0,0,0.557692307692308,0,0,0,0,1,0,0,0,0,0,0
"133",1,0.255102040816327,0.0450601735236496,0,0.136842105263158,1,0,0,0,0.557692307692308,0,0,1,0,1,0,0,0,0,0,0
"134",1,0.86734693877551,0.818080044780297,0,0.136842105263158,0,0,0,0,0.403846153846154,0,0,0,0,0,1,0,1,0,0,0
"135",1,0.540816326530612,0.329694934228939,0,0.126315789473684,1,0,0,0,0.730769230769231,0,0,0,0,0,0,1,0,0,0,0
"136",1,0.642857142857143,0.0859221942345368,0,0.126315789473684,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"137",0,0.673469387755102,0.991323817520291,0,0.126315789473684,0,1,0,0,0.326923076923077,0,1,0,0,0,0,0,1,0,0,0
"138",0,0.408163265306122,0.953820319059614,0,0.126315789473684,0,0,0,0,0.326923076923077,0,0,0,0,0,1,0,0,1,0,0
"139",0,0.622448979591837,0.878533445284075,0,0.136842105263158,0,1,0,0,0.403846153846154,0,0,0,0,0,0,0,1,0,0,0
"140",0,0.653061224489796,0.232017912118668,0,0.126315789473684,1,0,0,0,0.519230769230769,0,0,0,0,0,0,1,0,0,0,0
"141",0,0.438775510204082,0.0310663308144416,0,0.126315789473684,0,0,0,0,0.384615384615385,0,0,0,0,1,0,0,0,0,0,0
"142",0,0.326530612244898,0.0260285474391268,0,0.126315789473684,0,0,0,0,0.384615384615385,0,1,0,0,0,1,0,1,0,0,0
"143",0,0.857142857142857,0.851105513574027,0,0.136842105263158,0,0,0,0,0.596153846153846,0,1,0,0,0,1,0,0,1,0,0
"144",0,0.459183673469388,0.81696053736356,0,0.136842105263158,0,0,0,0,0.596153846153846,0,0,0,0,0,0,0,1,0,0,0
"145",0,0.551020408163265,0.634760705289673,0,0.136842105263158,0,0,0,0,0.538461538461538,0,0,0,0,0,0,0,0,1,0,0
