"","home_team","yardline_100","game_seconds_remaining","down","goal_to_go","yards_gained","shotgun","no_huddle","qb_dropback","qb_scramble","run_location","run_gap","td_team","score_differential","first_down_rush","incomplete_pass"
"250",0,73,2611,1,0,1,0,0,0,0,"left","guard",0,0,0,0
"252",0,75,2181,1,0,2,0,0,0,0,"middle","center",0,-7,0,0
"253",0,46,2098,1,0,2,0,0,0,0,"middle","center",0,-7,0,0
"254",0,28,1970,1,0,2,0,0,0,0,"left","guard",0,-7,0,0
"255",0,64,1837,1,0,2,1,1,1,1,"middle","center",0,-4,0,0
"256",0,83,1686,1,0,1,0,0,0,0,"left","guard",0,-11,0,0
"260",0,1,1046,1,1,1,1,0,0,0,"left","guard",1,-32,1,0
"263",0,6,770,1,1,2,1,1,0,0,"middle","center",0,-24,0,0
"265",0,1,712,3,1,1,1,1,0,0,"middle","center",1,-24,1,0
"278",1,12,2527,1,0,1,0,0,0,0,"middle","center",0,-13,0,0
"280",1,61,1455,1,0,2,1,0,0,0,"middle","center",0,-23,0,0
"281",1,32,1336,1,0,2,1,1,0,0,"middle","center",0,-23,0,0
"291",1,51,3417,1,0,1,0,0,1,1,"middle","center",0,0,0,0
"294",1,36,3296,2,0,2,0,0,0,0,"middle","center",0,0,0,0
"295",1,12,3213,1,0,1,0,0,0,0,"middle","center",0,0,0,0
"298",1,68,3008,2,0,2,0,0,0,0,"right","end",0,-4,0,0
"307",1,62,917,3,0,1,1,0,0,0,"middle","center",0,-28,0,0
"311",0,70,3360,2,0,1,0,0,0,0,"right","tackle",0,-7,0,0
"312",0,14,3279,1,0,1,0,0,0,0,"left","end",0,-7,0,0
"316",0,96,2258,1,0,2,0,0,0,0,"left","tackle",0,-7,0,0
"324",0,37,1231,3,0,1,0,0,0,0,"right","tackle",0,-13,0,0
"325",0,30,1170,1,0,2,0,0,1,1,"middle","center",0,-13,0,0
"326",0,14,1012,2,0,1,0,0,0,0,"middle","center",0,-13,0,0
"328",0,61,518,3,0,2,1,0,0,0,"middle","center",0,-10,0,0
"335",0,68,2782,1,0,2,0,0,0,0,"right","guard",0,-14,0,0
"340",0,23,2434,2,0,2,0,0,0,0,"left","tackle",0,-14,0,0
"345",0,99,1442,1,0,2,0,0,0,0,"left","guard",0,-14,0,0
"346",0,97,1399,2,0,1,0,0,0,0,"right","tackle",0,-14,0,0
"366",1,89,884,1,0,1,1,0,0,0,"middle","center",0,4,0,0
"367",1,88,848,2,0,1,0,0,0,0,"middle","center",0,4,0,0
"368",1,62,743,1,0,2,1,0,0,0,"middle","center",0,4,0,0
